CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.238281 1530824972.6130
MEM 24.140625 1530824972.7476
MEM 37.253906 1530824972.8805
MEM 48.378906 1530824973.0132
MEM 51.597656 1530824973.1457
MEM 61.058594 1530824973.2868
MEM 73.480469 1530824973.4228
MEM 87.972656 1530824973.5603
MEM 100.699219 1530824973.6923
MEM 127.082031 1530824973.8263
MEM 168.683594 1530824973.9560
MEM 178.261719 1530824974.0878
MEM 183.636719 1530824974.2227
MEM 193.640625 1530824974.3558
MEM 203.335938 1530824974.4891
MEM 215.421875 1530824974.6257
MEM 235.269531 1530824974.7606
MEM 241.925781 1530824974.8975
MEM 251.972656 1530824975.0348
MEM 256.613281 1530824975.1703
MEM 644.386719 1530824975.3054
CHLD 0 192.253906 1530824975.3210
CHLD 1 192.253906 1530824975.3211
MEM 702.070312 1530824975.4421
CHLD 0 221.902344 1530824975.4577
CHLD 1 221.355469 1530824975.4577
MEM 713.625000 1530824975.5773
CHLD 0 225.933594 1530824975.5933
CHLD 1 232.660156 1530824975.5933
MEM 749.593750 1530824975.7091
CHLD 0 244.785156 1530824975.7240
CHLD 1 235.941406 1530824975.7241
MEM 285.687500 1530824975.8431
MEM 1388.777344 1530824975.9762
CHLD 0 235.535156 1530824975.9913
CHLD 1 218.894531 1530824975.9913
CHLD 2 218.894531 1530824975.9913
CHLD 3 218.894531 1530824975.9914
CHLD 4 218.894531 1530824975.9914
MEM 1431.644531 1530824976.1094
CHLD 0 238.960938 1530824976.1245
CHLD 1 238.683594 1530824976.1246
CHLD 2 222.777344 1530824976.1246
CHLD 3 218.894531 1530824976.1246
CHLD 4 218.894531 1530824976.1247
MEM 1466.250000 1530824976.2440
CHLD 0 239.679688 1530824976.2575
CHLD 1 239.300781 1530824976.2575
CHLD 2 238.800781 1530824976.2575
CHLD 3 238.710938 1530824976.2575
CHLD 4 225.414062 1530824976.2575
MEM 1482.714844 1530824976.3798
CHLD 0 240.312500 1530824976.4069
CHLD 1 239.804688 1530824976.4069
CHLD 2 239.792969 1530824976.4070
CHLD 3 239.300781 1530824976.4070
CHLD 4 238.425781 1530824976.4070
MEM 1488.273438 1530824976.5286
CHLD 0 241.636719 1530824976.5436
CHLD 1 240.800781 1530824976.5436
CHLD 2 240.550781 1530824976.5437
CHLD 3 240.304688 1530824976.5437
CHLD 4 239.945312 1530824976.5437
MEM 1508.593750 1530824976.6596
CHLD 0 243.160156 1530824976.6750
CHLD 1 242.531250 1530824976.6750
CHLD 2 241.769531 1530824976.6750
CHLD 3 242.328125 1530824976.6750
CHLD 4 251.203125 1530824976.6751
MEM 1520.363281 1530824976.7927
CHLD 0 244.449219 1530824976.8071
CHLD 1 244.339844 1530824976.8072
CHLD 2 243.511719 1530824976.8072
CHLD 3 244.843750 1530824976.8072
CHLD 4 251.203125 1530824976.8072
MEM 1529.371094 1530824976.9246
CHLD 0 246.589844 1530824976.9396
CHLD 1 246.269531 1530824976.9396
CHLD 2 246.296875 1530824976.9396
CHLD 3 247.988281 1530824976.9397
CHLD 4 251.203125 1530824976.9397
MEM 1538.636719 1530824977.0558
CHLD 0 248.187500 1530824977.0693
CHLD 1 248.441406 1530824977.0693
CHLD 2 248.390625 1530824977.0694
CHLD 3 250.945312 1530824977.0694
CHLD 4 251.203125 1530824977.0694
MEM 1544.929688 1530824977.1866
CHLD 0 249.496094 1530824977.1998
CHLD 1 250.414062 1530824977.1998
CHLD 2 250.539062 1530824977.1999
CHLD 3 251.230469 1530824977.1999
CHLD 4 251.203125 1530824977.1999
MEM 1550.031250 1530824977.3174
CHLD 0 251.175781 1530824977.3305
CHLD 1 251.964844 1530824977.3305
CHLD 2 252.238281 1530824977.3305
CHLD 3 251.257812 1530824977.3305
CHLD 4 251.203125 1530824977.3306
MEM 1568.089844 1530824977.4490
CHLD 0 252.812500 1530824977.4626
CHLD 1 253.285156 1530824977.4626
CHLD 2 252.523438 1530824977.4626
CHLD 3 268.867188 1530824977.4627
CHLD 4 251.203125 1530824977.4627
MEM 1574.757812 1530824977.5877
CHLD 0 254.011719 1530824977.6076
