CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.238281 1530827305.7095
MEM 17.558594 1530827305.8429
MEM 35.750000 1530827305.9764
MEM 46.167969 1530827306.1105
MEM 51.312500 1530827306.2409
MEM 54.132812 1530827306.3739
MEM 61.554688 1530827306.5078
MEM 69.777344 1530827306.6461
MEM 84.324219 1530827306.7812
MEM 92.492188 1530827306.9163
MEM 110.042969 1530827307.0578
MEM 140.742188 1530827307.1926
MEM 172.031250 1530827307.3303
MEM 179.902344 1530827307.4644
MEM 186.558594 1530827307.5964
MEM 197.480469 1530827307.7288
MEM 207.476562 1530827307.8640
MEM 219.925781 1530827308.0022
MEM 236.425781 1530827308.1379
MEM 246.171875 1530827308.2726
MEM 253.640625 1530827308.4062
MEM 256.734375 1530827308.5422
MEM 646.394531 1530827308.6770
CHLD 0 193.929688 1530827308.6925
CHLD 1 192.246094 1530827308.6926
MEM 702.355469 1530827308.8126
CHLD 0 222.023438 1530827308.8259
CHLD 1 221.707031 1530827308.8259
MEM 710.042969 1530827308.9420
CHLD 0 224.074219 1530827308.9557
CHLD 1 231.429688 1530827308.9558
MEM 736.027344 1530827309.0739
CHLD 0 236.734375 1530827309.0871
CHLD 1 234.523438 1530827309.0871
MEM 757.531250 1530827309.2053
CHLD 0 237.156250 1530827309.2184
CHLD 1 234.523438 1530827309.2185
MEM 285.960938 1530827309.3373
CHLD 0 219.058594 1530827309.3517
CHLD 1 219.058594 1530827309.3517
CHLD 2 219.058594 1530827309.3517
MEM 1401.203125 1530827309.4699
CHLD 0 239.414062 1530827309.4839
CHLD 1 219.074219 1530827309.4840
CHLD 2 219.058594 1530827309.4840
CHLD 3 219.058594 1530827309.4840
CHLD 4 219.058594 1530827309.4841
MEM 1426.585938 1530827309.6023
CHLD 0 239.968750 1530827309.6157
CHLD 1 239.804688 1530827309.6157
CHLD 2 229.613281 1530827309.6157
CHLD 3 219.074219 1530827309.6157
CHLD 4 219.058594 1530827309.6158
MEM 1471.406250 1530827309.7398
CHLD 0 240.417969 1530827309.7637
CHLD 1 240.308594 1530827309.7637
CHLD 2 240.019531 1530827309.7638
CHLD 3 239.496094 1530827309.7638
CHLD 4 229.812500 1530827309.7638
MEM 1487.398438 1530827309.8878
CHLD 0 241.062500 1530827309.9113
CHLD 1 240.742188 1530827309.9113
CHLD 2 240.722656 1530827309.9114
CHLD 3 240.089844 1530827309.9114
CHLD 4 239.648438 1530827309.9115
MEM 1490.886719 1530827310.0348
CHLD 0 241.316406 1530827310.0579
CHLD 1 241.316406 1530827310.0579
CHLD 2 241.304688 1530827310.0580
CHLD 3 240.324219 1530827310.0580
CHLD 4 241.175781 1530827310.0580
MEM 1501.285156 1530827310.1817
CHLD 0 241.824219 1530827310.2053
CHLD 1 241.574219 1530827310.2053
CHLD 2 241.804688 1530827310.2053
CHLD 3 241.046875 1530827310.2054
CHLD 4 254.648438 1530827310.2054
MEM 1510.277344 1530827310.3308
CHLD 0 242.578125 1530827310.3545
CHLD 1 242.832031 1530827310.3545
CHLD 2 242.304688 1530827310.3546
CHLD 3 241.796875 1530827310.3546
CHLD 4 250.664062 1530827310.3546
MEM 1515.996094 1530827310.4783
CHLD 0 243.242188 1530827310.5014
CHLD 1 244.164062 1530827310.5015
CHLD 2 244.476562 1530827310.5015
CHLD 3 242.804688 1530827310.5016
CHLD 4 250.664062 1530827310.5016
MEM 1522.824219 1530827310.6264
CHLD 0 244.558594 1530827310.6504
CHLD 1 245.871094 1530827310.6504
CHLD 2 246.421875 1530827310.6505
CHLD 3 244.949219 1530827310.6505
CHLD 4 250.664062 1530827310.6506
MEM 1530.281250 1530827310.7749
CHLD 0 245.996094 1530827310.7986
CHLD 1 247.722656 1530827310.7987
CHLD 2 248.457031 1530827310.7987
CHLD 3 247.390625 1530827310.7987
CHLD 4 250.664062 1530827310.7988
MEM 1538.207031 1530827310.9230
CHLD 0 246.933594 1530827310.9466
CHLD 1 249.085938 1530827310.9467
CHLD 2 250.484375 1530827310.9467
CHLD 3 250.058594 1530827310.9468
CHLD 4 250.664062 1530827310.9468
MEM 1541.839844 1530827311.0719
CHLD 0 248.128906 1530827311.0958
CHLD 1 250.878906 1530827311.0958
CHLD 2 250.769531 1530827311.0959
CHLD 3 250.343750 1530827311.0959
CHLD 4 250.664062 1530827311.0959
MEM 1545.972656 1530827311.2202
CHLD 0 249.617188 1530827311.2435
CHLD 1 251.164062 1530827311.2436
CHLD 2 250.769531 1530827311.2436
CHLD 3 255.582031 1530827311.2436
CHLD 4 250.664062 1530827311.2437
MEM 1579.578125 1530827311.3676
CHLD 0 250.835938 1530827311.3932
CHLD 1 251.164062 1530827311.3932
CHLD 2 268.199219 1530827311.3933
CHLD 3 267.960938 1530827311.3933
CHLD 4 250.664062 1530827311.3933
MEM 1585.089844 1530827311.5154
CHLD 0 251.402344 1530827311.5370
CHLD 1 263.824219 1530827311.5370
CHLD 2 261.320312 1530827311.5371
CHLD 3 252.492188 1530827311.5371
CHLD 4 250.664062 1530827311.5371
MEM 1591.472656 1530827311.6606
CHLD 0 251.402344 1530827311.6842
CHLD 1 261.843750 1530827311.6843
CHLD 2 249.480469 1530827311.6843
CHLD 3 252.492188 1530827311.6844
CHLD 4 250.664062 1530827311.6844
MEM 1596.785156 1530827311.8094
CHLD 0 251.441406 1530827311.8335
CHLD 1 249.535156 1530827311.8335
CHLD 2 249.480469 1530827311.8336
CHLD 3 252.492188 1530827311.8336
CHLD 4 250.664062 1530827311.8337
MEM 1614.000000 1530827311.9574
CHLD 0 272.449219 1530827311.9818
CHLD 1 249.535156 1530827311.9819
CHLD 2 249.480469 1530827311.9819
CHLD 3 252.492188 1530827311.9820
CHLD 4 250.664062 1530827311.9820
MEM 1600.523438 1530827312.1025
CHLD 0 250.281250 1530827312.1204
CHLD 1 249.535156 1530827312.1204
CHLD 2 249.480469 1530827312.1204
CHLD 3 252.492188 1530827312.1204
CHLD 4 250.664062 1530827312.1205
MEM 1610.699219 1530827312.2343
CHLD 0 250.281250 1530827312.2470
CHLD 1 249.535156 1530827312.2470
CHLD 2 249.480469 1530827312.2470
CHLD 3 252.492188 1530827312.2470
CHLD 4 250.664062 1530827312.2470
MEM 358.375000 1530827312.3617
MEM 358.386719 1530827312.4896
MEM 355.667969 1530827312.6227
MEM 274.175781 1530827312.7560
MEM 0.000000 1530827312.8878
