CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.468750 1530828359.3642
MEM 24.167969 1530828359.4938
MEM 37.523438 1530828359.6219
MEM 50.214844 1530828359.7541
MEM 51.875000 1530828359.8868
MEM 61.316406 1530828360.0133
MEM 71.800781 1530828360.1421
MEM 86.238281 1530828360.2729
MEM 98.195312 1530828360.4044
MEM 118.777344 1530828360.5417
MEM 145.910156 1530828360.6773
MEM 172.058594 1530828360.8132
MEM 179.941406 1530828360.9434
MEM 187.070312 1530828361.0757
MEM 197.625000 1530828361.2092
MEM 207.500000 1530828361.3429
MEM 222.953125 1530828361.4753
MEM 236.609375 1530828361.6074
MEM 247.652344 1530828361.7399
MEM 253.316406 1530828361.8775
MEM 256.667969 1530828362.0152
MEM 649.160156 1530828362.1497
CHLD 0 200.789062 1530828362.1656
CHLD 1 192.265625 1530828362.1656
MEM 702.468750 1530828362.2880
CHLD 0 221.773438 1530828362.3034
CHLD 1 221.890625 1530828362.3034
MEM 711.781250 1530828362.4209
CHLD 0 223.535156 1530828362.4362
CHLD 1 232.796875 1530828362.4363
MEM 733.117188 1530828362.5537
CHLD 0 233.835938 1530828362.5689
CHLD 1 234.285156 1530828362.5689
MEM 752.390625 1530828362.6882
CHLD 0 237.156250 1530828362.7030
CHLD 1 234.285156 1530828362.7031
MEM 285.917969 1530828362.8277
CHLD 0 219.082031 1530828362.8447
MEM 1390.886719 1530828362.9641
CHLD 0 236.566406 1530828362.9790
CHLD 1 219.082031 1530828362.9790
CHLD 2 219.082031 1530828362.9790
CHLD 3 219.082031 1530828362.9790
CHLD 4 219.082031 1530828362.9791
MEM 1433.281250 1530828363.0975
CHLD 0 239.953125 1530828363.1139
CHLD 1 239.632812 1530828363.1140
CHLD 2 224.238281 1530828363.1140
CHLD 3 219.097656 1530828363.1140
CHLD 4 219.082031 1530828363.1140
MEM 1466.718750 1530828363.2359
CHLD 0 240.371094 1530828363.2508
CHLD 1 240.097656 1530828363.2508
CHLD 2 240.019531 1530828363.2508
CHLD 3 239.578125 1530828363.2509
CHLD 4 222.429688 1530828363.2509
MEM 1487.812500 1530828363.3703
CHLD 0 241.062500 1530828363.3855
CHLD 1 240.562500 1530828363.3855
CHLD 2 240.550781 1530828363.3855
CHLD 3 240.542969 1530828363.3856
CHLD 4 239.648438 1530828363.3856
MEM 1491.578125 1530828363.5033
CHLD 0 241.316406 1530828363.5184
CHLD 1 241.312500 1530828363.5184
CHLD 2 241.300781 1530828363.5184
CHLD 3 241.308594 1530828363.5185
CHLD 4 241.398438 1530828363.5185
MEM 1505.972656 1530828363.6403
CHLD 0 241.566406 1530828363.6553
CHLD 1 241.566406 1530828363.6554
CHLD 2 241.753906 1530828363.6554
CHLD 3 241.824219 1530828363.6554
CHLD 4 250.675781 1530828363.6554
MEM 1511.425781 1530828363.7758
CHLD 0 242.066406 1530828363.7905
CHLD 1 242.832031 1530828363.7906
CHLD 2 242.269531 1530828363.7906
CHLD 3 242.593750 1530828363.7906
