CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 8 --l_type cluster --su
MEM 0.722656 1530965066.7098
MEM 27.671875 1530965066.8381
MEM 38.781250 1530965066.9735
MEM 51.074219 1530965067.1055
MEM 54.308594 1530965067.2361
MEM 62.437500 1530965067.3667
MEM 78.281250 1530965067.5009
MEM 90.195312 1530965067.6355
MEM 105.718750 1530965067.7829
MEM 140.753906 1530965067.9339
MEM 172.312500 1530965068.0842
MEM 179.941406 1530965068.2208
MEM 185.742188 1530965068.3606
MEM 195.148438 1530965068.5026
MEM 204.027344 1530965068.6343
MEM 212.511719 1530965068.7674
CHLD 0 0.636719 1530965068.7821
CHLD 1 5.578125 1530965068.7821
MEM 215.863281 1530965068.9051
CHLD 0 0.636719 1530965068.9217
CHLD 1 8.671875 1530965068.9218
MEM 218.957031 1530965069.0426
CHLD 0 0.636719 1530965069.0606
CHLD 1 11.765625 1530965069.0607
MEM 221.535156 1530965069.1748
CHLD 0 0.636719 1530965069.1908
CHLD 1 14.601562 1530965069.1908
MEM 224.628906 1530965069.3131
CHLD 0 0.636719 1530965069.3300
CHLD 1 17.437500 1530965069.3300
MEM 227.464844 1530965069.4471
CHLD 0 0.636719 1530965069.4611
CHLD 1 20.273438 1530965069.4612
MEM 230.300781 1530965069.5852
CHLD 0 0.636719 1530965069.6030
CHLD 1 23.109375 1530965069.6030
MEM 232.878906 1530965069.7222
CHLD 0 0.636719 1530965069.7378
CHLD 1 25.687500 1530965069.7378
MEM 235.457031 1530965069.8542
CHLD 0 0.636719 1530965069.8692
CHLD 1 28.265625 1530965069.8693
MEM 238.035156 1530965069.9874
CHLD 0 0.636719 1530965070.0028
CHLD 1 30.843750 1530965070.0028
MEM 240.613281 1530965070.1202
CHLD 0 0.636719 1530965070.1352
CHLD 1 33.421875 1530965070.1352
MEM 242.933594 1530965070.2527
CHLD 0 0.636719 1530965070.2675
CHLD 1 35.742188 1530965070.2675
MEM 283.406250 1530965070.3907
CHLD 0 0.636719 1530965070.4058
CHLD 1 91.167969 1530965070.4059
MEM 386.789062 1530965070.5256
CHLD 0 0.636719 1530965070.5410
CHLD 1 190.941406 1530965070.5410
MEM 486.820312 1530965070.6588
CHLD 0 0.636719 1530965070.6734
CHLD 1 285.156250 1530965070.6734
MEM 562.226562 1530965070.7910
CHLD 0 0.636719 1530965070.8060
CHLD 1 364.644531 1530965070.8060
MEM 643.070312 1530965070.9232
CHLD 0 0.636719 1530965070.9381
CHLD 1 444.957031 1530965070.9382
MEM 721.644531 1530965071.0567
CHLD 0 0.636719 1530965071.0725
CHLD 1 524.011719 1530965071.0726
MEM 801.386719 1530965071.1943
CHLD 0 0.636719 1530965071.2099
CHLD 1 603.105469 1530965071.2099
MEM 883.039062 1530965071.3292
CHLD 0 0.636719 1530965071.3442
CHLD 1 685.437500 1530965071.3442
MEM 966.042969 1530965071.4637
CHLD 0 0.636719 1530965071.4794
CHLD 1 766.847656 1530965071.4794
MEM 1044.617188 1530965071.6027
CHLD 0 0.636719 1530965071.6185
CHLD 1 847.140625 1530965071.6186
MEM 1118.375000 1530965071.7380
CHLD 0 0.636719 1530965071.7529
CHLD 1 918.273438 1530965071.7529
MEM 1190.910156 1530965071.8719
CHLD 0 0.636719 1530965071.8869
CHLD 1 991.570312 1530965071.8869
MEM 1266.976562 1530965072.0050
CHLD 0 0.636719 1530965072.0203
CHLD 1 1067.214844 1530965072.0203
MEM 1343.605469 1530965072.1413
CHLD 0 0.636719 1530965072.1562
CHLD 1 1144.804688 1530965072.1562
